instr,addr,pipe,call_count,cycles,running_time(us),detail
STP_XI_XJ_XN,0x1168ba4c,SCALAR,1,553,0.000000,"dtype:B64,XI:X4=0x10000,XJ:X3=0x207950,XN:X1=0x207e20,IMM:0,"
ST_XD_XN_IMM,0x1168ba70,SCALAR,1,548,0.000000,"dtype:B8,XD:X4=0x4,XN:X30=0x207c20,IMM:0x210,"
ST_XD_XN_IMM,0x1168ba68,SCALAR,1,545,0.000000,"dtype:B64,XD:X3=0x2078a8,XN:X1=0x200008,IMM:0,"
STI_XN_IMM,0x1168b9fc,SCALAR,1,527,0.000000,"dtype:B8,XN:X30=0x207c20,IMM:0xd20,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,0x1168be60,SCALAR,1,513,0.000000,"dtype:B32,XI:X5=0x4000,XJ:X0=0x2c000,XN:X8=0x207800,IMM:0,"
ST_XD_XN_IMM,0x1168be68,SCALAR,1,513,0.000000,"dtype:B64,XD:X4=0x207970,XN:X30=0x207c20,IMM:0xbe8,"
ST_XD_XN_IMM,0x1168be6c,SCALAR,1,513,0.000000,"dtype:B8,XD:X6=0x9,XN:X30=0x207c20,IMM:0xbf0,"
LDP_XI_XJ_XN,0x1168b920,SCALAR,1,389,0.000000,"dtype:B64,XI:X7=0,XJ:X3=0,XN:X3=0x106b7e20,IMM:0,"
LD_XD_XN_IMM,0x1168b91c,SCALAR,1,388,0.000000,"dtype:B16,XD:X1=0,XN:X0=0x106b7e00,IMM:0x74,"
LD_XD_XN_IMM,0x1168b924,SCALAR,1,387,0.000000,"dtype:B16,XD:X31=0,XN:X0=0x106b7e00,IMM:0x70,"
ST_XD_XN_IMM,0x1168ba40,SCALAR,1,300,0.000000,"dtype:B32,XD:X4=0x10000,XN:X30=0x207c20,IMM:0xd00,"
ST_XD_XN_IMM,0x1168ba24,SCALAR,1,296,0.000000,"dtype:B8,XD:X3=0x2,XN:X30=0x207c20,IMM:0x1b0,"
STP_XI_XJ_XN,0x1168ba14,SCALAR,1,296,0.000000,"dtype:B64,XI:X4=0x10000,XJ:X3=0x207940,XN:X2=0x207dc0,IMM:0,"
STI_XN_IMM,0x1168b998,SCALAR,1,292,0.000000,"dtype:B64,XN:X30=0x207c20,IMM:0xc88,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,0x1168b99c,SCALAR,1,292,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X2=0x2078c0,IMM:0x30,"
STP_XI_XJ_XN,0x1168bacc,SCALAR,1,292,0.000000,"dtype:B64,XI:X4=0x30000,XJ:X2=0x207970,XN:X1=0x207ee0,IMM:0,"
ST_XD_XN_IMM,0x1168bad8,SCALAR,1,291,0.000000,"dtype:B8,XD:X2=0x9,XN:X30=0x207c20,IMM:0x2d0,"
ST_XD_XN_IMM,0x1168ba9c,SCALAR,1,291,0.000000,"dtype:B8,XD:X2=0x7,XN:X30=0x207c20,IMM:0x270,"
STP_XI_XJ_XN,0x1168ba98,SCALAR,1,291,0.000000,"dtype:B64,XI:X4=0x20000,XJ:X3=0x207960,XN:X1=0x207e80,IMM:0,"
ST_XD_XN_IMM,0x1168b9e0,SCALAR,1,291,0.000000,"dtype:B32,XD:X4=0x80000,XN:X30=0x207c20,IMM:0xd18,"
STI_XN_IMM,0x1168b9c8,SCALAR,1,291,0.000000,"dtype:B32,XN:X30=0x207c20,IMM:0x114,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x1168b9c4,SCALAR,1,291,0.000000,"dtype:B32,XN:X30=0x207c20,IMM:0x118,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x1168b9c0,SCALAR,1,291,0.000000,"dtype:B32,XN:X30=0x207c20,IMM:0x110,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x1168bd40,SCALAR,1,290,0.000000,"dtype:B32,XD:X0=0x30000,XN:X30=0x207c20,IMM:0x940,"
ST_XD_XN_IMM,0x1168bd44,SCALAR,1,290,0.000000,"dtype:B32,XD:X3=0,XN:X4=0x207564,IMM:0,"
STP_XI_XJ_XN,0x1168be20,SCALAR,1,289,0.000000,"dtype:B32,XI:X9=0xe000,XJ:X8=0x22000,XN:X12=0x207680,IMM:0,"
ST_XD_XN_IMM,0x1168b948,SCALAR,1,289,0.000000,"dtype:B64,XD:X1=0x1168a600,XN:X30=0x207c20,IMM:0x878,"
ST_XD_XN_IMM,0x1168bd5c,SCALAR,1,288,0.000000,"dtype:B8,XD:X2=0x9,XN:X30=0x207c20,IMM:0x950,"
ST_XD_XN_IMM,0x1168bd58,SCALAR,1,288,0.000000,"dtype:B64,XD:X1=0x207970,XN:X30=0x207c20,IMM:0x948,"
STP_XI_XJ_XN,0x1168be34,SCALAR,1,288,0.000000,"dtype:B32,XI:X9=0xa000,XJ:X8=0x26000,XN:X12=0x207740,IMM:0,"
STP_XI_XJ_XN,0x1168bd60,SCALAR,1,288,0.000000,"dtype:B32,XI:X6=0x10000,XJ:X4=0x20000,XN:X9=0x207620,IMM:0,"
ST_XD_XN_IMM,0x1168b984,SCALAR,1,288,0.000000,"dtype:B32,XD:X2=0x7ff80,XN:X30=0x207c20,IMM:0x138,"
ST_XD_XN_IMM,0x1168bda0,SCALAR,1,288,0.000000,"dtype:B64,XD:X1=0x207970,XN:X30=0x207c20,IMM:0xb88,"
ST_XD_XN_IMM,0x1168b930,SCALAR,1,288,0.000000,"dtype:B64,XD:X3=0x11689600,XN:X30=0x207c20,IMM:0x918,"
ST_XD_XN_IMM,0x1168bda4,SCALAR,1,288,0.000000,"dtype:B8,XD:X2=0x9,XN:X30=0x207c20,IMM:0xb90,"
STP_XI_XJ_XN,0x1168bd9c,SCALAR,1,288,0.000000,"dtype:B32,XI:X0=0x8000,XJ:X3=0x28000,XN:X4=0x2077a0,IMM:0,"
STP_XI_XJ_XN,0x1168bd7c,SCALAR,1,287,0.000000,"dtype:B32,XI:X6=0xc000,XJ:X4=0x24000,XN:X9=0x2076e0,IMM:0,"
ST_XD_XN_IMM,0x1168bd74,SCALAR,1,286,0.000000,"dtype:B64,XD:X1=0x207970,XN:X30=0x207c20,IMM:0xa08,"
ST_XD_XN_IMM,0x1168bd78,SCALAR,1,286,0.000000,"dtype:B8,XD:X2=0x9,XN:X30=0x207c20,IMM:0xa10,"
STP_XI_XJ_XN,0x1168be08,SCALAR,1,286,0.000000,"dtype:B32,XI:X8=0x20000,XJ:X9=0x10000,XN:X12=0x2075c0,IMM:0,"
STI_XN_IMM,0x1168bd3c,SCALAR,1,286,0.000000,"dtype:B64,XN:X30=0x207c20,IMM:0xc58,#POST:0,#IMM_TYPE:ZERO,"
ST_XD_XN_IMM,0x1168b928,SCALAR,1,286,0.000000,"dtype:B16,XD:X1=0xad69,XN:X30=0x207c20,IMM:0x8be,"
ST_XD_XN_IMM,0x1168bd94,SCALAR,1,285,0.000000,"dtype:B64,XD:X1=0x207970,XN:X30=0x207c20,IMM:0xac8,"
ST_XD_XN_IMM,0x1168bd98,SCALAR,1,285,0.000000,"dtype:B8,XD:X2=0x9,XN:X30=0x207c20,IMM:0xad0,"
STI_XN_IMM,0x1168ba38,SCALAR,1,283,0.000000,"dtype:B32,XN:X30=0x207c20,IMM:0xd3c,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x1168be58,SCALAR,1,282,0.000000,"dtype:B64,XD:X4=0x207970,XN:X30=0x207c20,IMM:0xb28,"
ST_XD_XN_IMM,0x1168ba48,SCALAR,1,282,0.000000,"dtype:B32,XD:X4=0x10000,XN:X30=0x207c20,IMM:0xd38,"
ST_XD_XN_IMM,0x1168be5c,SCALAR,1,282,0.000000,"dtype:B8,XD:X6=0x9,XN:X30=0x207c20,IMM:0xb30,"
ST_XD_XN_IMM,0x1168be54,SCALAR,1,281,0.000000,"dtype:B8,XD:X6=0x9,XN:X30=0x207c20,IMM:0xa70,"
ST_XD_XN_IMM,0x1168be50,SCALAR,1,281,0.000000,"dtype:B64,XD:X4=0x207970,XN:X30=0x207c20,IMM:0xa68,"
ST_XD_XN_IMM,0x1168b938,SCALAR,1,280,0.000000,"dtype:B64,XD:X1=0x1168a000,XN:X30=0x207c20,IMM:0x8b0,"
STI_XN_IMM,0x1168ba08,SCALAR,1,276,0.000000,"dtype:B32,XN:X30=0x207c20,IMM:0xd2c,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x1168ba04,SCALAR,1,276,0.000000,"dtype:B32,XN:X30=0x207c20,IMM:0xd24,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,0x1168ba00,SCALAR,1,276,0.000000,"dtype:B16,XN:X30=0x207c20,IMM:0xd22,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x1168be4c,SCALAR,1,276,0.000000,"dtype:B8,XD:X6=0x9,XN:X30=0x207c20,IMM:0x9b0,"
ST_XD_XN_IMM,0x1168be48,SCALAR,1,276,0.000000,"dtype:B64,XD:X4=0x207970,XN:X30=0x207c20,IMM:0x9a8,"
ST_XD_XN_IMM,0x1168ba10,SCALAR,1,275,0.000000,"dtype:B32,XD:X4=0x10000,XN:X30=0x207c20,IMM:0xd28,"
STI_XN_IMM,0x1168b990,SCALAR,1,274,0.000000,"dtype:B32,XN:X30=0x207c20,IMM:0xcf0,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,0x1168b994,SCALAR,1,274,0.000000,"dtype:B64,XN:X30=0x207c20,IMM:0xd08,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,0x1168ba34,SCALAR,1,273,0.000000,"dtype:B32,XN:X30=0x207c20,IMM:0xd34,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,0x1168ba30,SCALAR,1,273,0.000000,"dtype:B16,XN:X30=0x207c20,IMM:0xd32,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x1168ba28,SCALAR,1,273,0.000000,"dtype:B8,XN:X30=0x207c20,IMM:0xd30,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,0x1168b9e4,SCALAR,1,268,0.000000,"dtype:B64,XI:X4=0x80000,XJ:X3=0x207930,XN:X2=0x207d60,IMM:0,"
STP_XI_XJ_XN,0x1168b9b4,SCALAR,1,268,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X2=0x207900,IMM:0,"
ST_XD_XN_IMM,0x1168bdac,SCALAR,1,267,0.000000,"dtype:B32,XD:X8=0x2,XN:X30=0x207c20,IMM:0xc48,"
ST_XD_XN_IMM,0x1168b950,SCALAR,1,267,0.000000,"dtype:B64,XD:X1=0x11549400,XN:X30=0x207c20,IMM:0x8a8,"
STI_XN_IMM,0x1168bdb8,SCALAR,1,266,0.000000,"dtype:B32,XN:X30=0x207c20,IMM:0xc40,#POST:0,#IMM_TYPE:ZERO,"
STI_XN_IMM,0x1168b9f8,SCALAR,1,266,0.000000,"dtype:B8,XN:X30=0x207c20,IMM:0x150,#POST:0,#IMM_TYPE:ONE,"
ST_XD_XN_IMM,0x1168b9dc,SCALAR,1,264,0.000000,"dtype:B32,XD:X4=0x80000,XN:X30=0x207c20,IMM:0xcf8,"
