instr,addr,pipe,call_count,cycles,running_time(us),detail
MOV_OUT_TO_UB,0x1168de04,MTE2,31,44560,23.350000,"Src:OUT,Dst:UB,XD:X20=0x10000,XN:X13=0x11553400,XM:X0=0x800200200,id:13"
SET_FLAG,0x1168dc20,MTE2,31,44308,23.209999,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:1,"
VAXPY,0x1168ddbc,VECTOR,1024,37888,20.459999,"XD:X4=0x28000,XN:X9=0,XM:X3=0xd181,XT:X16=0x800040800010001,Dtype:FMIX,Id:935"
SET_FLAG,0x1168ddc0,VECTOR,1024,36864,19.910000,"PIPE:VEC,TRIGGERPIPE:SCALAR,FLAGID:0,"
WAIT_FLAG,0x1168dd90,SCALAR,1024,34550,18.660000,"PIPE:VEC,TRIGGERPIPE:SCALAR,FLAGID:0,"
MOV_OUT_TO_UB,0x1168d8b8,MTE2,31,18715,9.840000,"Src:OUT,Dst:UB,XD:X5=0x22000,XN:X13=0x11689640,XM:X6=0x20010,id:12"
SET_FLAG,0x1168d29c,MTE2,31,18234,9.590000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:3,"
MOVEMASK,0x1168ddb8,VECTOR,1024,16384,8.850000,"XN:X27=0xffffffffffffffff,Id:934"
MOVEMASK,0x1168ddac,VECTOR,1024,16384,8.850000,"XN:X11=0,Id:931"
LD_XD_XN,0x1168dd94,SCALAR,1024,11559,6.240000,"dtype:B16,XD:X3=0,XN:X5=0x20000,XM:X8=0x40000,#POST:0,"
SET_FLAG,0x1168dda0,SCALAR,1024,10535,5.690000,"PIPE:SCALAR,TRIGGERPIPE:VEC,FLAGID:0,"
BAR,0x1168dd38,VECTOR,32,3143,1.690000,"PIPE:VEC"
MADD,0x1168dd9c,SCALAR,1024,3072,1.660000,"dtype:S64,XD:X9=0,XN:X15=0x400,XM:X18=0,"
MOV_OUT_TO_UB,0x1168de44,MTE2,1,2511,0.000000,"Src:OUT,Dst:UB,XD:X0=0,XN:X2=0x11549400,XM:X1=0x800200200,id:11"
SET_FLAG,0x1168cf20,MTE2,1,2510,0.000000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:0,"
WAIT_FLAG,0x1168dcc8,VECTOR,32,2161,1.170000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:0,"
STP_XI_XJ_XN,0x1168d05c,SCALAR,32,1184,0.620000,"dtype:B32,XI:X16=0x200,XJ:X2=0x20,XN:X3=0x1cf880,IMM:0,"
ST_XD_XN_IMM,0x1168cfe8,SCALAR,32,1184,0.620000,"dtype:B32,XD:X14=0x1,XN:X30=0x1cfc20,IMM:0xc5c,"
STP_XI_XJ_XN,0x1168d068,SCALAR,32,1152,0.600000,"dtype:B32,XI:X2=0x20,XJ:X16=0x200,XN:X3=0x1cf888,IMM:0,"
MOV_XD_XN,0x1168dd98,SCALAR,1024,1024,0.550000,"dtype:S64,XD:X9=0,XN:X1=0,"
ZEROEXT,0x1168dda8,SCALAR,1024,1024,0.550000,"dtype:U32,XD:X9=0,XN:X9=0,"
ADD_IMM,0x1168ddb0,SCALAR,1024,1024,0.550000,"dtype:S64,XD:X18=0x1,XN:X18=0,IMM:0x1,"
ADD_IMM,0x1168ddb4,SCALAR,1024,1024,0.550000,"dtype:S64,XD:X5=0x20002,XN:X5=0x20000,IMM:0x2,"
VADD,0x1168cfbc,VECTOR,32,928,0.490000,"XD:X0=0x24000,XN:X1=0,XM:X0=0x24000,XT:X2=0x400080808010101,Dtype:F16,Id:1520"
SET_FLAG,0x1168cfec,VECTOR,32,896,0.470000,"PIPE:VEC,TRIGGERPIPE:MTE2,FLAGID:0,"
SET_FLAG,0x1168cff4,VECTOR,32,864,0.450000,"PIPE:VEC,TRIGGERPIPE:MTE2,FLAGID:2,"
WAIT_FLAG,0x1168cf74,SCALAR,32,864,0.450000,"PIPE:VEC,TRIGGERPIPE:SCALAR,FLAGID:0,"
VCONV,0x1168cfa0,VECTOR,32,736,0.390000,"XD:X1=0,XN:X4=0x28000,XT:X3=0x800080400010001,Conv_type:F32_F16R,Id:1513"
MOVEV,0x1168dd2c,VECTOR,32,736,0.390000,"XD:X4=0x28000,XN:X8=0,XT:X6=0x800000800010001,Dtype:B32,Id:899"
VMULS,0x1168dc9c,VECTOR,32,736,0.390000,"XD:X0=0x20000,XN:X0=0x20000,XM:X31=0xada9,XT:X2=0x100080800010001,Dtype:F16,Id:863"
BAR,0x1168cfb4,VECTOR,32,672,0.350000,"PIPE:VEC"
BAR,0x1168dcc4,VECTOR,32,637,0.340000,"PIPE:VEC"
MOV_OUT_TO_UB,0x1168cbcc,MTE2,1,631,0.000000,"Src:OUT,Dst:UB,XD:X1=0x20000,XN:X3=0x11689600,XM:X0=0x20010,id:7"
SET_FLAG,0x1168c574,MTE2,1,607,0.000000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:2,"
STP_XI_XJ_XN,0x1168ba4c,SCALAR,1,552,0.000000,"dtype:B64,XI:X4=0x10000,XJ:X3=0x1cf950,XN:X1=0x1cfe20,IMM:0,"
ST_XD_XN_IMM,0x1168ba68,SCALAR,1,549,0.000000,"dtype:B64,XD:X3=0x1cf8a8,XN:X1=0x1c8008,IMM:0,"
ST_XD_XN_IMM,0x1168ba70,SCALAR,1,547,0.000000,"dtype:B8,XD:X4=0x4,XN:X30=0x1cfc20,IMM:0x210,"
STI_XN_IMM,0x1168b9fc,SCALAR,1,533,0.000000,"dtype:B8,XN:X30=0x1cfc20,IMM:0xd20,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,0x1168be60,SCALAR,1,514,0.000000,"dtype:B32,XI:X5=0x4000,XJ:X0=0x2c000,XN:X8=0x1cf800,IMM:0,"
ST_XD_XN_IMM,0x1168be68,SCALAR,1,514,0.000000,"dtype:B64,XD:X4=0x1cf970,XN:X30=0x1cfc20,IMM:0xbe8,"
ST_XD_XN_IMM,0x1168be6c,SCALAR,1,514,0.000000,"dtype:B8,XD:X6=0x9,XN:X30=0x1cfc20,IMM:0xbf0,"
MOVEMASK,0x1168dd1c,VECTOR,32,512,0.270000,"XN:X27=0xffffffffffffffff,Id:895"
MOVEMASK,0x1168dc94,VECTOR,32,512,0.270000,"XN:X3=0x20,Id:861"
MOVEMASK,0x1168cf9c,VECTOR,32,512,0.270000,"XN:X27=0xffffffffffffffff,Id:1512"
MOVEMASK,0x1168cfb8,VECTOR,32,512,0.270000,"XN:X27=0xffffffffffffffff,Id:1519"
MOVEMASK,0x1168cf88,VECTOR,32,512,0.270000,"XN:X11=0,Id:1507"
MOVEMASK,0x1168dc7c,VECTOR,32,512,0.270000,"XN:X11=0,Id:855"
MOV_OUT_TO_UB,0x1168cba8,MTE2,1,399,0.000000,"Src:OUT,Dst:UB,XD:X2=0x24000,XN:X0=0x1168a000,XM:X1=0x200010,id:5"
LD_XD_XN_IMM,0x1168b91c,SCALAR,1,388,0.000000,"dtype:B16,XD:X1=0,XN:X0=0x106b7e00,IMM:0x74,"
LDP_XI_XJ_XN,0x1168b920,SCALAR,1,385,0.000000,"dtype:B64,XI:X7=0,XJ:X3=0,XN:X3=0x106b7e20,IMM:0,"
LD_XD_XN_IMM,0x1168b924,SCALAR,1,383,0.000000,"dtype:B16,XD:X31=0,XN:X0=0x106b7e00,IMM:0x70,"
SET_FLAG,0x1168c2c8,MTE2,1,380,0.000000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:0,"
WAIT_FLAG,0x1168c2dc,VECTOR,1,376,0.000000,"PIPE:MTE2,TRIGGERPIPE:VEC,FLAGID:0,"
ST_XD_XN_IMM,0x1168ba40,SCALAR,1,299,0.000000,"dtype:B32,XD:X4=0x10000,XN:X30=0x1cfc20,IMM:0xd00,"
STI_XN_IMM,0x1168b9c4,SCALAR,1,298,0.000000,"dtype:B32,XN:X30=0x1cfc20,IMM:0x118,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x1168b9c0,SCALAR,1,298,0.000000,"dtype:B32,XN:X30=0x1cfc20,IMM:0x110,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x1168b9c8,SCALAR,1,298,0.000000,"dtype:B32,XN:X30=0x1cfc20,IMM:0x114,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x1168b9e0,SCALAR,1,298,0.000000,"dtype:B32,XD:X4=0x80000,XN:X30=0x1cfc20,IMM:0xd18,"
STP_XI_XJ_XN,0x1168b99c,SCALAR,1,297,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X2=0x1cf8c0,IMM:0x30,"
