block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
11,vector1,N/A,N/A,N/A,N/A,N/A,N/A,239.457779,431024,0.239141,0.175795,0.063346,0.000000,0.000000,0.409847,0.000000,0.658360,0.050465,
12,cube0,1.165556,2098,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,vector0,N/A,N/A,N/A,N/A,N/A,N/A,228.589447,411461,0.239141,0.175795,0.063346,0.000000,0.000000,0.375818,0.000000,0.631640,0.063955,
12,vector1,N/A,N/A,N/A,N/A,N/A,N/A,228.299438,410939,0.239141,0.175795,0.063346,0.000000,0.000000,0.377065,0.000000,0.635628,0.053203,
13,cube0,1.481667,2667,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,vector0,N/A,N/A,N/A,N/A,N/A,N/A,235.224442,423404,0.239141,0.175795,0.063346,0.000000,0.000000,0.382140,0.000000,0.638777,0.062511,
13,vector1,N/A,N/A,N/A,N/A,N/A,N/A,235.331116,423596,0.239141,0.175795,0.063346,0.000000,0.000000,0.382280,0.000000,0.639434,0.052584,
14,cube0,4.350000,7830,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,vector0,N/A,N/A,N/A,N/A,N/A,N/A,232.434998,418383,0.239141,0.175795,0.063346,0.000000,0.000000,0.378021,0.000000,0.638507,0.062551,
14,vector1,N/A,N/A,N/A,N/A,N/A,N/A,232.537781,418568,0.239141,0.175795,0.063346,0.000000,0.000000,0.378286,0.000000,0.647216,0.051029,
