block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
11,cube0,4.110556,7399,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,239.103882,430387,0.432301,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
11,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,239.457779,431024,0.432330,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
12,cube0,1.165556,2098,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,228.589447,411461,0.432301,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
12,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,228.299438,410939,0.432259,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
13,cube0,1.481667,2667,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.224442,423404,0.432290,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
13,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.331116,423596,0.432259,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
14,cube0,4.350000,7830,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.434998,418383,0.432290,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
14,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.537781,418568,0.432330,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
15,cube0,1.619444,2915,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.950562,426511,0.432270,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
15,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.686111,426035,0.432301,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
16,cube0,2.067222,3721,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.538330,418569,0.432280,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
16,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.615555,418708,0.432259,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
17,cube0,5.380556,9685,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.544449,422180,0.432290,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
17,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.624451,422324,0.432290,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
18,cube0,1.838333,3309,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.692215,422446,0.432301,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
18,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.871109,422768,0.432270,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
19,cube0,1.870556,3367,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.699448,426059,0.432301,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
19,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.858337,426345,0.432309,0.136142,0.000000,0.000000,0.000000,0.006386,4317824,
