block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
7,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,249.441666,448995,124.532219,0.462945,55.364445,0.205816,236.978882,0.880962,1.131111,0.004205,0.000000,
8,cube0,1.065000,1917,0.000000,0.000000,0.981667,0.003649,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.970551,421147,116.288887,0.432301,50.112778,0.186293,220.513336,0.819752,0.998333,0.003711,0.000000,
8,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.957230,421123,116.277779,0.432259,50.258335,0.186834,220.431107,0.819447,1.138333,0.004232,0.000000,
9,cube0,1.547222,2785,0.000000,0.000000,1.544444,0.005741,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.571671,424029,116.288887,0.432301,50.868332,0.189102,223.812225,0.832016,0.985000,0.003662,0.000000,
9,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.814438,424466,116.296669,0.432330,51.261112,0.190562,223.004440,0.829013,0.986667,0.003668,0.000000,
10,cube0,5.277778,9500,0.000000,0.000000,5.291667,0.019672,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.296661,419934,116.286110,0.432290,48.492222,0.180268,218.581665,0.812571,0.961111,0.003573,0.000000,
10,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.412216,420142,116.283333,0.432280,50.370556,0.187251,213.230560,0.792679,1.000556,0.003720,0.000000,
11,cube0,4.110556,7399,0.000000,0.000000,4.097778,0.015233,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,239.103882,430387,116.288887,0.432301,50.380001,0.187286,226.564438,0.842247,1.015556,0.003775,0.000000,
11,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,239.457779,431024,116.296669,0.432330,51.289444,0.190667,224.021118,0.832792,1.026111,0.003815,0.000000,
12,cube0,1.165556,2098,0.000000,0.000000,1.226667,0.004560,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,228.589447,411461,116.288887,0.432301,50.459999,0.187584,217.884995,0.809981,0.844444,0.003139,0.000000,
12,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,228.299438,410939,116.277779,0.432259,50.550556,0.187920,217.918884,0.810107,1.513889,0.005628,0.000000,
13,cube0,1.481667,2667,0.000000,0.000000,1.098889,0.004085,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.224442,423404,116.286110,0.432290,50.419998,0.187435,219.849442,0.817284,0.986111,0.003666,0.000000,
13,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,235.331116,423596,116.277779,0.432259,50.682777,0.188412,220.115555,0.818273,0.967778,0.003598,0.000000,
14,cube0,4.350000,7830,0.000000,0.000000,4.458333,0.016574,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.434998,418383,116.286110,0.432290,50.833889,0.188974,218.520004,0.812342,0.965000,0.003587,0.000000,
14,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.537781,418568,116.296669,0.432330,51.401112,0.191082,218.421112,0.811974,0.966667,0.003594,0.000000,
15,cube0,1.619444,2915,0.000000,0.000000,1.506667,0.005601,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.950562,426511,116.280556,0.432270,51.536667,0.191586,223.519440,0.830927,0.977222,0.003633,0.000000,
15,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.686111,426035,116.288887,0.432301,50.992779,0.189564,223.656662,0.831437,1.000000,0.003717,0.000000,
16,cube0,2.067222,3721,0.000000,0.000000,2.214444,0.008232,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.538330,418569,116.283333,0.432280,51.117779,0.190029,220.236664,0.818724,1.043333,0.003879,0.000000,
16,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,232.615555,418708,116.277779,0.432259,50.882778,0.189155,220.377777,0.819248,0.985556,0.003664,0.000000,
17,cube0,5.380556,9685,0.000000,0.000000,5.381667,0.020006,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.544449,422180,116.286110,0.432290,50.746113,0.188647,222.798340,0.828247,0.933889,0.003472,0.000000,
17,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.624451,422324,116.286110,0.432290,51.048332,0.189771,225.793335,0.839380,0.926667,0.003445,0.000000,
18,cube0,1.838333,3309,0.000000,0.000000,1.753889,0.006520,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.692215,422446,116.288887,0.432301,51.254444,0.190537,219.803329,0.817113,0.818889,0.003044,0.000000,
18,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,234.871109,422768,116.280556,0.432270,51.182220,0.190268,219.679993,0.816654,1.067778,0.003969,0.000000,
19,cube0,1.870556,3367,0.000000,0.000000,2.065000,0.007677,0.002778,0.000010,0.002222,0.000008,0.001111,0.000004,0.000556,0.000002,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.699448,426059,116.288887,0.432301,51.175556,0.190244,222.333893,0.826520,0.942222,0.003503,0.000000,
19,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,236.858337,426345,116.291115,0.432309,51.418335,0.191146,222.554993,0.827342,0.950000,0.003532,0.000000,
