block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
5,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,263.099457,473579,0.003986,33.639713,35.112225,0.014614,1522,0.931318,10,0.004009,9910.625000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9495.000000,15.290779,1.125000,0.002143,
5,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,264.671112,476408,0.003986,33.639713,35.111782,0.014614,1522,0.918812,10,0.003951,9910.500000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9495.000000,15.290779,1.125000,0.002143,
6,cube0,5.861667,10551,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
6,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,260.582764,469049,0.003986,33.639713,35.111782,0.014614,1522,0.912235,10,0.003965,9910.500000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9495.000000,15.290779,1.125000,0.002143,
6,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,260.625000,469125,0.003986,33.639713,35.111782,0.014614,1522,0.913410,10,0.003943,9910.500000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9495.000000,15.290779,1.125000,0.002143,
7,cube0,1.001111,1802,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
7,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,249.030548,448255,0.003986,31.715038,33.098980,0.014614,1610,0.880572,10,0.004025,9342.375000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8951.750000,14.415927,1.125000,0.002143,
7,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,249.441666,448995,0.003986,31.715038,33.098980,0.014614,1610,0.880962,10,0.004205,9342.375000,4.125000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8951.750000,14.415927,1.125000,0.002143,
8,cube0,1.065000,1917,0.000000,0.000000,0.005757,0.004871,3,0.000010,2,0.000008,1,0.000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.009792,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
8,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,233.970551,421147,0.003543,29.901966,31.212395,0.014172,1353,0.819752,9,0.003711,8809.875000,4.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8440.000000,13.591803,1.000000,0.001905,
