instr,addr,pipe,call_count,cycles,running_time(us),detail
STP_XI_XJ_XN,0x1168ba4c,SCALAR,1,555,0.000000,"dtype:B64,XI:X4=0x10000,XJ:X3=0x2ef950,XN:X1=0x2efe20,IMM:0,"
ST_XD_XN_IMM,0x1168ba70,SCALAR,1,550,0.000000,"dtype:B8,XD:X4=0x4,XN:X30=0x2efc18,IMM:0x218,"
ST_XD_XN_IMM,0x1168ba68,SCALAR,1,548,0.000000,"dtype:B64,XD:X3=0x2ef8a8,XN:X1=0x2e8008,IMM:0,"
STI_XN_IMM,0x1168b9fc,SCALAR,1,530,0.000000,"dtype:B8,XN:X30=0x2efc18,IMM:0xd28,#POST:0,#IMM_TYPE:ZERO,"
ST_XD_XN_IMM,0x1168be70,SCALAR,1,518,0.000000,"dtype:B8,XD:X6=0x9,XN:X30=0x2efc18,IMM:0xbf8,"
ST_XD_XN_IMM,0x1168be6c,SCALAR,1,518,0.000000,"dtype:B64,XD:X4=0x2ef970,XN:X30=0x2efc18,IMM:0xbf0,"
STP_XI_XJ_XN,0x1168be64,SCALAR,1,518,0.000000,"dtype:B32,XI:X5=0x4000,XJ:X2=0x2c000,XN:X8=0x2ef800,IMM:0,"
LD_XD_XN_IMM,0x1168b91c,SCALAR,1,372,0.000000,"dtype:B16,XD:X1=0,XN:X0=0x106b7e00,IMM:0x74,"
LDP_XI_XJ_XN,0x1168b920,SCALAR,1,363,0.000000,"dtype:B64,XI:X7=0,XJ:X3=0,XN:X3=0x106b7e20,IMM:0,"
LD_XD_XN_IMM,0x1168b924,SCALAR,1,361,0.000000,"dtype:B16,XD:X31=0,XN:X0=0x106b7e00,IMM:0x70,"
ST_XD_XN_IMM,0x1168ba40,SCALAR,1,302,0.000000,"dtype:B32,XD:X4=0x10000,XN:X30=0x2efc18,IMM:0xd08,"
ST_XD_XN_IMM,0x1168ba24,SCALAR,1,298,0.000000,"dtype:B8,XD:X3=0x2,XN:X30=0x2efc18,IMM:0x1b8,"
STP_XI_XJ_XN,0x1168ba14,SCALAR,1,298,0.000000,"dtype:B64,XI:X4=0x10000,XJ:X3=0x2ef940,XN:X2=0x2efdc0,IMM:0,"
STP_XI_XJ_XN,0x1168bacc,SCALAR,1,297,0.000000,"dtype:B64,XI:X4=0x30000,XJ:X2=0x2ef970,XN:X1=0x2efee0,IMM:0,"
STI_XN_IMM,0x1168b9c8,SCALAR,1,296,0.000000,"dtype:B32,XN:X30=0x2efc18,IMM:0x11c,#POST:0,#IMM_TYPE:ALL_ONE,"
ST_XD_XN_IMM,0x1168bad8,SCALAR,1,296,0.000000,"dtype:B8,XD:X2=0x9,XN:X30=0x2efc18,IMM:0x2d8,"
STI_XN_IMM,0x1168b9c0,SCALAR,1,296,0.000000,"dtype:B32,XN:X30=0x2efc18,IMM:0x118,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x1168b9c4,SCALAR,1,296,0.000000,"dtype:B32,XN:X30=0x2efc18,IMM:0x120,#POST:0,#IMM_TYPE:ALL_ONE,"
STP_XI_XJ_XN,0x1168ba98,SCALAR,1,295,0.000000,"dtype:B64,XI:X4=0x20000,XJ:X3=0x2ef960,XN:X1=0x2efe80,IMM:0,"
ST_XD_XN_IMM,0x1168ba9c,SCALAR,1,295,0.000000,"dtype:B8,XD:X2=0x7,XN:X30=0x2efc18,IMM:0x278,"
ST_XD_XN_IMM,0x1168b984,SCALAR,1,292,0.000000,"dtype:B32,XD:X2=0x7ff80,XN:X30=0x2efc18,IMM:0x140,"
STI_XN_IMM,0x1168b998,SCALAR,1,292,0.000000,"dtype:B64,XN:X30=0x2efc18,IMM:0xc90,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,0x1168b99c,SCALAR,1,292,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X2=0x2ef8c0,IMM:0x30,"
ST_XD_XN_IMM,0x1168b9e0,SCALAR,1,292,0.000000,"dtype:B32,XD:X4=0x80000,XN:X30=0x2efc18,IMM:0xd20,"
ST_XD_XN_IMM,0x1168b930,SCALAR,1,290,0.000000,"dtype:B64,XD:X3=0x11689600,XN:X30=0x2efc18,IMM:0x918,"
ST_XD_XN_IMM,0x1168b948,SCALAR,1,290,0.000000,"dtype:B64,XD:X1=0x1168a600,XN:X30=0x2efc18,IMM:0x878,"
ST_XD_XN_IMM,0x1168bd40,SCALAR,1,290,0.000000,"dtype:B32,XD:X0=0x30000,XN:X30=0x2efc18,IMM:0x948,"
ST_XD_XN_IMM,0x1168bd44,SCALAR,1,290,0.000000,"dtype:B32,XD:X3=0,XN:X4=0x2ef564,IMM:0,"
STP_XI_XJ_XN,0x1168be08,SCALAR,1,289,0.000000,"dtype:B32,XI:X8=0x20000,XJ:X9=0x10000,XN:X12=0x2ef5c0,IMM:0,"
STP_XI_XJ_XN,0x1168be38,SCALAR,1,289,0.000000,"dtype:B32,XI:X9=0xa000,XJ:X8=0x26000,XN:X12=0x2ef740,IMM:0,"
