instr,addr,pipe,call_count,cycles,running_time(us),detail
ADD_IMM,0x1168dcd4,SCALAR,32,32,0.020000,"dtype:S64,XD:X0=0x1c76e0,XN:X0=0x1c7560,IMM:0x180,"
ZEROEXT,0x1168d034,SCALAR,32,32,0.020000,"dtype:U32,XD:X4=0,XN:X17=0,"
INSERT_XD,0x1168dcd8,SCALAR,32,32,0.020000,"XD:X0=0x1c76e4,IMM:0x1,POSITION:0x2,EXT:0,"
ADD,0x1168dcdc,SCALAR,32,32,0.020000,"dtype:S64,XD:X2=0x1c7620,XN:X4=0x1c7620,XM:X1=0,"
MOV_XD_IMM,0x1168dc88,SCALAR,32,32,0.020000,"XD:X8=0x1,IMM:0x1,"
MUL_IMM,0x1168dcc0,SCALAR,32,32,0.020000,"dtype:S64,XD:X1=0,XN:X1=0,IMM:0x60,"
CMP,0x1168d060,SCALAR,32,32,0.020000,"dtype:U64,XN:X4=0,XM:X6=0x1f,cond_op:GE,"
MOVK,0x1168dc90,SCALAR,32,32,0.020000,"XD:X8=0x800010001,IMM:0x8,UIMM:0x2,"
ADD,0x1168dc84,SCALAR,32,32,0.020000,"dtype:S64,XD:X1=0x1c7560,XN:X10=0x1c7560,XM:X1=0,"
SHL,0x1168dc80,SCALAR,32,32,0.020000,"dtype:B64,XD:X1=0,DATA_SRC:IMM,IMM:0x2,"
ADD_IMM,0x1168d038,SCALAR,32,32,0.020000,"dtype:S64,XD:X8=0x1,XN:X0=0,IMM:0x1,"
MOVK,0x1168dc78,SCALAR,32,32,0.020000,"XD:X2=0x100080800010001,IMM:0x100,UIMM:0x3,"
ZEROEXT,0x1168d01c,SCALAR,32,32,0.020000,"dtype:U32,XD:X4=0x200,XN:X1=0x200,"
SIGNEXT,0x1168dc74,SCALAR,32,32,0.020000,"dtype:S32,XD:X3=0x20,XN:X3=0x20,"
MOVK,0x1168dc70,SCALAR,32,32,0.020000,"XD:X2=0x80800010001,IMM:0x808,UIMM:0x2,"
MOVK,0x1168dc6c,SCALAR,32,32,0.020000,"XD:X2=0x10001,IMM:0x1,UIMM:0x1,"
MOV_XD_IMM,0x1168dc68,SCALAR,32,32,0.020000,"XD:X2=0x1,IMM:0x1,"
INSERT_XD,0x1168dc60,SCALAR,32,32,0.020000,"XD:X2=0x100000000000000,IMM:0x1,POSITION:0x38,EXT:0,"
MOV_XD_SPR,0x1168dc5c,SCALAR,32,32,0.020000,"XD:X2=0,SPR:CTRL,"
