instr,addr,pipe,call_count,cycles,running_time(us),detail
MOV_XD_IMM,0x1168bad0,SCALAR,1,1,0.000000,"XD:X2=0x9,IMM:0x9,"
MOV_XD_IMM,0x1168c8e8,SCALAR,1,1,0.000000,"XD:X0=0x567,IMM:0x567,"
ADD_IMM,0x1168bd1c,SCALAR,1,1,0.000000,"dtype:S64,XD:X3=0x1cfee0,XN:X30=0x1cfc18,IMM:0x2c8,"
SUB_IMM,0x1168bd24,SCALAR,1,1,0.000000,"dtype:S64,XD:X10=0x1cf560,XN:X30=0x1cfc18,IMM:0x6b8,"
MOV_XD_XN,0x1168bd2c,SCALAR,1,1,0.000000,"dtype:S64,XD:X4=0x1cf560,XN:X10=0x1cf560,"
INSERT_XD,0x1168bd30,SCALAR,1,1,0.000000,"XD:X4=0x1cf564,IMM:0x1,POSITION:0x2,EXT:0,"
MOVX8_XD_IMM,0x1168bd48,SCALAR,1,1,0.000000,"XD:X4=0x20000,IMM:0x4000,"
SUB,0x1168bd4c,SCALAR,1,1,0.000000,"dtype:S64,XD:X6=0x10000,XN:X0=0x30000,XM:X4=0x20000,"
ADD,0x1168bd50,SCALAR,1,1,0.000000,"dtype:S64,XD:X4=0x20000,XN:X3=0,XM:X4=0x20000,"
SUB_IMM,0x1168bd54,SCALAR,1,1,0.000000,"dtype:S64,XD:X9=0x1cf620,XN:X30=0x1cfc18,IMM:0x5f8,"
MOVX8_XD_IMM,0x1168bd64,SCALAR,1,1,0.000000,"XD:X4=0x24000,IMM:0x4800,"
ADD,0x1168c3ec,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0x1cf560,XN:X10=0x1cf560,XM:X4=0,"
INSERT_XD,0x1168c3a4,SCALAR,1,1,0.000000,"XD:X0=0,IMM:0,POSITION:0x38,EXT:0,"
SUB_IMM,0x1168c3a8,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0x1cf878,XN:X30=0x1cfc18,IMM:0x3a0,"
ZEROEXT,0x1168c3b8,SCALAR,1,1,0.000000,"dtype:U32,XD:X2=0x80,XN:X5=0x40000000080,"
SIGNEXT,0x1168c3c0,SCALAR,1,1,0.000000,"dtype:S32,XD:X0=0,XN:X0=0,"
SHL,0x1168c3c4,SCALAR,1,1,0.000000,"dtype:B64,XD:X4=0,DATA_SRC:IMM,IMM:0x2,"
SIGNEXT,0x1168c3cc,SCALAR,1,1,0.000000,"dtype:S32,XD:X0=0,XN:X1=0,"
MOV_XD_IMM,0x1168c3d0,SCALAR,1,1,0.000000,"XD:X1=0x200,IMM:0x200,"
MOVK,0x1168c3d4,SCALAR,1,1,0.000000,"XD:X1=0x2000000200,IMM:0x20,UIMM:0x2,"
MIN,0x1168c3e8,SCALAR,1,1,0.000000,"dtype:S64,XD:X3=0x80,XN:X2=0x80,XM:X15=0x200,"
MOV_XD_SPR,0x1168c3a0,SCALAR,1,1,0.000000,"XD:X0=0x100000000000000,SPR:CTRL,"
SUB_IMM,0x1168c3f8,SCALAR,1,1,0.000000,"dtype:S64,XD:X5=0x1cf880,XN:X30=0x1cfc18,IMM:0x398,"
SIGNEXT,0x1168c410,SCALAR,1,1,0.000000,"dtype:S32,XD:X0=0x2,XN:X1=0x2,"
MUL_IMM,0x1168c414,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0,XN:X2=0,IMM:0x60,"
ADD,0x1168c41c,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x1cf560,XN:X10=0x1cf560,XM:X1=0,"
ADD_IMM,0x1168c420,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0x1cf620,XN:X0=0x1cf560,IMM:0xc0,"
INSERT_XD,0x1168c424,SCALAR,1,1,0.000000,"XD:X1=0x1cf624,IMM:0x1,POSITION:0x2,EXT:0,"
ADD_IMM,0x1168c430,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x2f,XN:X5=0x20,IMM:0xf,"
ZEROEXT,0x1168c434,SCALAR,1,1,0.000000,"dtype:U32,XD:X0=0x2f,XN:X0=0x2f,"
ADD,0x1168c360,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0x1cf560,XN:X10=0x1cf560,XM:X4=0,"
AND,0x1168c264,SCALAR,1,1,0.000000,"dtype:B64,XD:X2=0x1000000,XN:X2=0x1000000,XM:X3=0x1ffffe0000,"
INSERT_XD,0x1168c268,SCALAR,1,1,0.000000,"XD:X2=0x1000010,IMM:0x1,POSITION:0x4,EXT:0,"
MOV_XD_IMM,0x1168c270,SCALAR,1,1,0.000000,"XD:X1=0xff7a,IMM:0xff7a,"
MOVK,0x1168c274,SCALAR,1,1,0.000000,"XD:X1=0xffffff7a,IMM:0xffff,UIMM:0x1,"
MOVK,0x1168c278,SCALAR,1,1,0.000000,"XD:X1=0xffffffffff7a,IMM:0xffff,UIMM:0x2,"
MUL_IMM,0x1168c34c,SCALAR,1,1,0.000000,"dtype:S64,XD:X4=0,XN:X2=0,IMM:0x60,"
SIGNEXT,0x1168c350,SCALAR,1,1,0.000000,"dtype:S32,XD:X0=0,XN:X0=0,"
MOV_XD_IMM,0x1168c354,SCALAR,1,1,0.000000,"XD:X3=0x1,IMM:0x1,"
SIGNEXT,0x1168c35c,SCALAR,1,1,0.000000,"dtype:S32,XD:X0=0,XN:X1=0,"
SHR,0x1168c438,SCALAR,1,1,0.000000,"dtype:U64,XD:X0=0x2,DATA_SRC:IMM,IMM:0x4,"
ADD_IMM,0x1168c364,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0x1cf6e0,XN:X1=0x1cf560,IMM:0x180,"
INSERT_XD,0x1168c368,SCALAR,1,1,0.000000,"XD:X1=0x1cf6e4,IMM:0x1,POSITION:0x2,EXT:0,"
MOV_XD_SPR,0x1168c374,SCALAR,1,1,0.000000,"XD:X1=0,SPR:CTRL,"
INSERT_XD,0x1168c378,SCALAR,1,1,0.000000,"XD:X1=0x100000000000000,IMM:0x1,POSITION:0x38,EXT:0,"
MOVK,0x1168c384,SCALAR,1,1,0.000000,"XD:X3=0x10001,IMM:0x1,UIMM:0x1,"
MOVK,0x1168c388,SCALAR,1,1,0.000000,"XD:X3=0x80800010001,IMM:0x808,UIMM:0x2,"
SIGNEXT,0x1168c38c,SCALAR,1,1,0.000000,"dtype:S32,XD:X4=0x80,XN:X5=0x40000000080,"
MOVK,0x1168c390,SCALAR,1,1,0.000000,"XD:X3=0x100080800010001,IMM:0x100,UIMM:0x3,"
ZEROEXT,0x1168c894,SCALAR,1,1,0.000000,"dtype:U32,XD:X5=0x180,XN:X0=0x180,"
ADD,0x1168c620,SCALAR,1,1,0.000000,"dtype:S64,XD:X2=0x1cf560,XN:X10=0x1cf560,XM:X1=0,"
MOV_XD_IMM,0x1168c630,SCALAR,1,1,0.000000,"XD:X0=0x88,IMM:0x88,"
MOVK,0x1168c634,SCALAR,1,1,0.000000,"XD:X0=0x88,IMM:0,UIMM:0x1,"
MOVK,0x1168c638,SCALAR,1,1,0.000000,"XD:X0=0x88,IMM:0,UIMM:0x2,"
ADD_IMM,0x1168c878,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x8f,XN:X13=0x80,IMM:0xf,"
ZEROEXT,0x1168c87c,SCALAR,1,1,0.000000,"dtype:U32,XD:X1=0x8f,XN:X0=0x8f,"
SUB,0x1168c880,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x200,XN:X7=0x280,XM:X13=0x80,"
ZEROEXT,0x1168c884,SCALAR,1,1,0.000000,"dtype:U32,XD:X4=0x200,XN:X0=0x200,"
SUB,0x1168c888,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x180,XN:X6=0x200,XM:X13=0x80,"
SIGNEXT,0x1168c61c,SCALAR,1,1,0.000000,"dtype:S32,XD:X0=0,XN:X0=0,"
SHR,0x1168c898,SCALAR,1,1,0.000000,"dtype:U64,XD:X1=0x8,DATA_SRC:IMM,IMM:0x4,"
SHR,0x1168c89c,SCALAR,1,1,0.000000,"dtype:U64,XD:X4=0x20,DATA_SRC:IMM,IMM:0x4,"
SHR,0x1168c8a0,SCALAR,1,1,0.000000,"dtype:U64,XD:X5=0x18,DATA_SRC:IMM,IMM:0x4,"
MOV_XD_IMM,0x1168c8bc,SCALAR,1,1,0.000000,"XD:X0=0x1,IMM:0x1,"
SHL,0x1168c8c0,SCALAR,1,1,0.000000,"dtype:B64,XD:X0=0x200,XN:X6=0x9,DATA_SRC:XN,IMM:0,"
AND,0x1168c8c4,SCALAR,1,1,0.000000,"dtype:B64,XD:X6=0,XN:X0=0x200,XM:X29=0x41d5,"
AND,0x1168c8e0,SCALAR,1,1,0.000000,"dtype:B64,XD:X0=0,XN:X0=0x200,XM:X25=0x302a,"
MOVK,0x1168c8ec,SCALAR,1,1,0.000000,"XD:X0=0x567,IMM:0,UIMM:0x1,"
SHL,0x1168c5e4,SCALAR,1,1,0.000000,"dtype:B64,XD:X1=0,DATA_SRC:IMM,IMM:0x2,"
MOV_XD_IMM,0x1168c454,SCALAR,1,1,0.000000,"XD:X5=0x1,IMM:0x1,"
SHL,0x1168c458,SCALAR,1,1,0.000000,"dtype:B64,XD:X5=0x200,XN:X4=0x9,DATA_SRC:XN,IMM:0,"
AND,0x1168c45c,SCALAR,1,1,0.000000,"dtype:B64,XD:X4=0,XN:X5=0x200,XM:X29=0x41d5,"
AND,0x1168c478,SCALAR,1,1,0.000000,"dtype:B64,XD:X4=0,XN:X5=0x200,XM:X25=0x302a,"
MOV_XD_IMM,0x1168c480,SCALAR,1,1,0.000000,"XD:X3=0x1ee,IMM:0x1ee,"
MOVK,0x1168c484,SCALAR,1,1,0.000000,"XD:X3=0x1ee,IMM:0,UIMM:0x1,"
MOVK,0x1168c488,SCALAR,1,1,0.000000,"XD:X3=0x1ee,IMM:0,UIMM:0x2,"
SHL,0x1168c5cc,SCALAR,1,1,0.000000,"dtype:B64,XD:X2=0,DATA_SRC:IMM,IMM:0x2,"
ADD,0x1168c5d0,SCALAR,1,1,0.000000,"dtype:S64,XD:X0=0x1cf560,XN:X10=0x1cf560,XM:X2=0,"
SIGNEXT,0x1168c094,SCALAR,1,1,0.000000,"dtype:S32,XD:X0=0,XN:X0=0,"
ADD,0x1168c5e8,SCALAR,1,1,0.000000,"dtype:S64,XD:X20=0x11549800,XN:X2=0x11549400,XM:X3=0x400,"
SUB_IMM,0x1168c5ec,SCALAR,1,1,0.000000,"dtype:S64,XD:X9=0x1cf880,XN:X30=0x1cfc18,IMM:0x398,"
SIGNEXT,0x1168c5f4,SCALAR,1,1,0.000000,"dtype:S32,XD:X0=0x2,XN:X0=0x2,"
ADD,0x1168c5f8,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0x1cf560,XN:X10=0x1cf560,XM:X1=0,"
MUL_IMM,0x1168c608,SCALAR,1,1,0.000000,"dtype:S64,XD:X1=0,XN:X2=0,IMM:0x60,"
MOV_XD_IMM,0x1168c60c,SCALAR,1,1,0.000000,"XD:X2=0xf,IMM:0xf,"
AND,0x1168c614,SCALAR,1,1,0.000000,"dtype:B64,XD:X2=0,XN:X13=0x80,XM:X2=0xf,"
CMP_IMM,0x1168c618,SCALAR,1,1,0.000000,"dtype:S64,XN:X2=0,IMM:0,cond_op:NE,"
ADD_IMM,0x1168c11c,SCALAR,1,1,0.000000,"dtype:S64,XD:X6=0x1cf6e0,XN:X2=0x1cf560,IMM:0x180,"
MOVK,0x1168c19c,SCALAR,1,1,0.000000,"XD:X3=0x2a1,IMM:0,UIMM:0x2,"
MOVK,0x1168c198,SCALAR,1,1,0.000000,"XD:X3=0x2a1,IMM:0,UIMM:0x1,"
MOV_XD_IMM,0x1168c194,SCALAR,1,1,0.000000,"XD:X3=0x2a1,IMM:0x2a1,"
AND,0x1168c18c,SCALAR,1,1,0.000000,"dtype:B64,XD:X5=0,XN:X6=0x200,XM:X25=0x302a,"
AND,0x1168c170,SCALAR,1,1,0.000000,"dtype:B64,XD:X5=0,XN:X6=0x200,XM:X29=0x41d5,"
SHL,0x1168c16c,SCALAR,1,1,0.000000,"dtype:B64,XD:X6=0x200,XN:X5=0x9,DATA_SRC:XN,IMM:0,"
MOV_XD_IMM,0x1168c168,SCALAR,1,1,0.000000,"XD:X6=0x1,IMM:0x1,"
SHR,0x1168c144,SCALAR,1,1,0.000000,"dtype:U64,XD:X1=0x8,DATA_SRC:IMM,IMM:0x4,"
