M,N,time_us,Tflops,utilization_ratio
3311,5445,137.660004,0.1309632026452651,37.41789499999999
6034,7102,264.799988,0.16183334570241747,45.671874999999986
8717,7126,369.079987,0.16830319764804802,47.384930000000004
8401,8864,290.299988,0.25651556003509035,71.798095
5989,5929,241.520004,0.14702211167568546,41.80145000000001
1702,3931,57.380001,0.1166009390623747,33.55176000000001
5043,8256,158.179993,0.2632128577727273,73.78799000000001
1833,652,26.1,0.04578988505747126,15.173480000000003
4832,5709,188.679993,0.14620462700568362,41.75513000000001
9343,950,72.68,0.12212231700605392,37.441529999999986
7179,5891,291.899994,0.14488348704796478,41.214980000000004
7623,5383,262.799988,0.15614387699287108,44.46839
2609,9102,168.679993,0.14078206654893566,40.10510500000001
2889,8629,179.520004,0.13886575559568282,39.540139999999994
9816,3401,232.100006,0.14383548098658813,41.347719999999995
8062,6256,226.820007,0.22236077261032797,62.59599999999998
1152,2360,33.459999,0.08125284163935569,23.40098
4456,4587,141.880005,0.14406309049678986,41.11245
3884,4582,127.18,0.13993149866331184,39.7879
8162,8944,322.420013,0.2264156226555329,63.37349
3519,5234,129.360001,0.1423813068770771,40.60223500000001
5773,2024,69.139999,0.1689984403962748,47.820335
544,7005,43.560001,0.08748209165559936,25.02500000000001
9065,9278,506.559998,0.16603180340347362,47.26968500000002
3692,4057,106.879997,0.14014263117915318,40.16018999999999
3005,3278,71.0,0.13873788732394365,40.03276999999999
5332,3462,124.639999,0.14810160580954432,42.61953
2734,9329,189.919998,0.1342959470755681,38.401154999999996
2938,4713,105.959999,0.13067944630690304,37.675369999999994
1953,9271,150.360001,0.12041941260694722,34.44388499999999
6329,8414,312.399994,0.1704616101881231,48.48799
714,8451,73.699997,0.08187264919427338,23.65703999999999
9467,3166,187.559998,0.159802315630223,46.22123999999999
6555,1432,55.200001,0.1700499969193841,48.56667000000001
5786,779,44.220001,0.10192885341635337,32.313559999999995
9608,5087,313.079987,0.15611312772924063,44.098845000000004
1565,7738,93.959999,0.12888431384508633,36.81684
892,3525,46.299999,0.0679114485510032,19.650665000000004
9971,8117,514.47998,0.15731342354662664,44.274435000000004
7422,4323,217.039993,0.14783130775349773,42.252565
8562,1320,66.459999,0.1700547723450914,49.67876499999999
2434,4969,91.599998,0.13203653126717316,37.797180000000004
7047,9912,314.059998,0.22240929900279754,62.202369999999995
8036,8271,441.619995,0.15050440820733219,42.984455
7782,9471,506.359985,0.14555518639570225,41.284065000000005
6181,1077,59.200001,0.11244825823567131,35.24993
1403,6479,85.959999,0.10574729066713925,30.266874999999988
739,4882,57.439999,0.062809854853932,18.125204999999994
6655,2469,124.800003,0.13166021318124485,38.486104999999995
3513,981,48.299999,0.07135099526606616,21.73664000000001
2309,7728,88.900002,0.20071936556311887,57.043499999999966
9471,1891,134.779999,0.13288070287046078,39.289449999999995
1358,5023,67.239998,0.10144607678304808,28.835259999999995
5209,6561,242.020004,0.14121249663312954,39.94447
1202,4136,49.0,0.10145861224489795,28.886584999999997
9928,8313,524.780029,0.1572686829513476,44.78913499999999
516,8283,48.040001,0.0889681080564507,25.626380000000005
1074,1178,26.360001,0.04799590106237098,14.896119999999996
8013,5542,273.820007,0.16217969784801006,46.116989999999994
7889,7469,382.940002,0.15386990309777038,43.53938499999999
7176,9036,336.880005,0.19247902825221108,54.824910000000024
7566,1914,99.559998,0.1454532371525359,42.50073
4157,6355,182.080002,0.145088613300872,41.096585000000005
8761,4744,189.199997,0.21967328043879406,62.10215
1851,5562,72.959999,0.1411083078551029,40.426755
9250,1243,85.919998,0.13381925358052266,40.934050000000006
669,3093,42.400002,0.04880228543385446,14.501685000000004
5034,4585,160.720001,0.14360931966395396,40.91981500000001
7572,5236,208.800003,0.18988022715689326,54.17077999999999
8295,575,47.0,0.10148138297872339,33.95789
6607,3426,148.639999,0.15228459467360467,43.89780000000001
4734,4684,132.759995,0.1670236278631978,48.06586500000001
9667,780,55.82,0.1350816911501254,43.16617999999999
2387,3602,64.32,0.13367496890547265,39.13744
7145,9701,469.640015,0.1475888825188799,41.873935
4585,2258,76.5,0.13533241830065357,39.89878499999999
9294,716,51.900002,0.12821779852725246,42.31268
4866,9330,281.200012,0.16145013535774672,45.95332
7374,5582,250.759995,0.16414766637716674,46.57913499999998
2559,2484,46.619999,0.13634826547293574,39.93862499999999
2275,4901,88.559998,0.12590080455963878,36.19487999999998
7598,4817,233.600006,0.1566762202908505,44.75655499999999
5825,8460,264.320007,0.18643878138214487,53.07090499999998
7952,4541,244.320007,0.14779809661678667,41.92682
9036,5527,336.100006,0.14859259478858802,41.95812500000001
8733,5720,233.699997,0.21374737116492132,60.248095000000035
8587,9350,478.600006,0.16775689300764446,47.778690000000005
9478,9645,585.799988,0.15605208581875218,44.31047500000001
9355,2334,138.039993,0.15817568173884214,45.69769500000002
1359,735,26.24,0.03806650152439025,12.265469999999997
6467,6263,278.859985,0.14524429168279557,41.25702
6910,4309,196.160004,0.1517903211298874,43.357850000000006
7290,5639,273.640015,0.1502276997024722,43.175454999999985
5046,6596,200.580002,0.1659358643340725,47.02642499999999
4912,4654,148.440002,0.15400463279433263,44.23934999999998
5977,732,36.959999,0.11837565255345378,38.57556500000001
4407,6729,194.139999,0.15274906331899177,43.38679
2062,5526,87.980003,0.12951365777971158,37.05215500000002
9510,5793,347.940002,0.15833600529783293,45.20025
9711,5183,335.559998,0.1499943774585432,42.75043500000001
5359,8070,269.179993,0.16066249767678684,45.273665
