block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_time(us),aic_cube_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_mte3_time(us),aic_mte3_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,
7,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,490.170013,882306,189.324448,0.383248,250.436111,0.506956,207.591660,0.420226,0.222222,0.000450,0.000000,
8,cube0,3.510556,6319,0.000000,0.000000,3.499444,0.007084,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.773889,4993,0.017222,0.000035,2.731667,0.005530,0.001111,0.000002,0.001111,0.000002,0.000000,
8,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.015555,9028,0.017222,0.000035,4.558889,0.009229,0.001111,0.000002,0.001111,0.000002,0.000000,
9,cube0,1.152222,2074,0.000000,0.000000,1.039444,0.002104,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.994444,8990,0.017222,0.000035,4.880000,0.009879,0.001111,0.000002,0.001111,0.000002,0.000000,
9,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.917778,8852,0.017222,0.000035,4.928333,0.009976,0.001111,0.000002,0.001111,0.000002,0.000000,
10,cube0,1.253889,2257,0.000000,0.000000,1.143333,0.002314,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.305556,5950,0.017222,0.000035,3.272778,0.006625,0.001111,0.000002,0.001111,0.000002,0.000000,
10,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.561667,6411,0.017222,0.000035,3.920000,0.007935,0.001111,0.000002,0.001111,0.000002,0.000000,
11,cube0,1.653889,2977,0.000000,0.000000,1.507222,0.003051,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.440556,6193,0.017222,0.000035,3.484444,0.007054,0.001111,0.000002,0.001111,0.000002,0.000000,
11,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.714444,6686,0.017222,0.000035,3.676667,0.007443,0.001111,0.000002,0.001111,0.000002,0.000000,
12,cube0,1.611667,2901,0.000000,0.000000,1.381111,0.002796,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.738889,6730,0.017222,0.000035,3.802222,0.007697,0.001111,0.000002,0.001111,0.000002,0.000000,
12,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.747778,8546,0.017222,0.000035,4.633889,0.009380,0.001111,0.000002,0.001111,0.000002,0.000000,
13,cube0,3.902778,7025,0.000000,0.000000,3.827222,0.007747,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.211667,7581,0.017222,0.000035,4.335556,0.008776,0.001111,0.000002,0.001111,0.000002,0.000000,
13,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.086111,9155,0.017222,0.000035,4.928889,0.009978,0.001111,0.000002,0.001111,0.000002,0.000000,
14,cube0,1.996111,3593,0.000000,0.000000,1.431111,0.002897,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.973333,8952,0.017222,0.000035,4.848333,0.009814,0.001111,0.000002,0.001111,0.000002,0.000000,
14,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.050556,7291,0.017222,0.000035,4.011111,0.008120,0.001111,0.000002,0.001111,0.000002,0.000000,
15,cube0,1.526111,2747,0.000000,0.000000,1.510000,0.003057,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.863333,6954,0.022222,0.000045,3.762778,0.007617,0.001111,0.000002,0.001111,0.000002,0.000000,
15,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.401111,7922,0.017222,0.000035,4.276111,0.008656,0.001111,0.000002,0.001111,0.000002,0.000000,
16,cube0,1.997222,3595,0.000000,0.000000,1.926111,0.003899,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.053333,9096,0.017222,0.000035,4.950555,0.010021,0.001111,0.000002,0.001111,0.000002,0.000000,
16,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.707778,8474,0.017222,0.000035,4.595000,0.009302,0.001111,0.000002,0.001111,0.000002,0.000000,
17,cube0,2.161111,3890,0.000000,0.000000,2.042778,0.004135,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
17,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.845000,8721,0.017222,0.000035,4.783889,0.009684,0.001111,0.000002,0.001111,0.000002,0.000000,
17,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.153889,9277,0.017222,0.000035,4.713333,0.009541,0.001111,0.000002,0.001111,0.000002,0.000000,
18,cube0,3.504444,6308,0.000000,0.000000,3.505000,0.007095,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
18,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.378889,7882,0.017222,0.000035,4.432778,0.008973,0.001111,0.000002,0.001111,0.000002,0.000000,
18,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.926667,8868,0.017222,0.000035,4.656111,0.009425,0.001111,0.000002,0.001111,0.000002,0.000000,
19,cube0,1.835000,3303,0.000000,0.000000,1.896667,0.003839,0.002778,0.000006,0.002222,0.000004,0.001111,0.000002,0.000556,0.000001,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
19,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.746666,8544,0.017222,0.000035,4.972778,0.010066,0.001111,0.000002,0.001111,0.000002,0.000000,
19,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.875556,8776,0.017222,0.000035,5.427778,0.010987,0.001111,0.000002,0.001111,0.000002,0.000000,
