block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
4,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.961121,700130,0.383228,0.074550,0.000000,0.000000,0.000000,0.019732,4804032,
4,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.503326,697506,0.383228,0.074550,0.000000,0.000000,0.000000,0.019732,4804032,
5,cube0,1.278889,2302,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.923889,698263,0.383228,0.074550,0.000000,0.000000,0.000000,0.019732,4804032,
5,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.414459,699146,0.383238,0.074550,0.000000,0.000000,0.000000,0.019732,4804032,
6,cube0,4.921111,8858,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.943329,698298,0.383228,0.074550,0.000000,0.000000,0.000000,0.019732,4804032,
6,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,389.545013,701181,0.383228,0.074550,0.000000,0.000000,0.000000,0.019732,4804032,
7,cube0,5.270555,9487,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
7,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,488.899445,880019,0.383234,0.074550,0.000000,0.000000,0.000000,0.019732,4804032,
7,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,490.170013,882306,0.383248,0.074550,0.000000,0.000000,0.000000,0.019732,4804032,
8,cube0,3.510556,6319,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
8,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.773889,4993,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
8,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.015555,9028,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
9,cube0,1.152222,2074,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
9,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.994444,8990,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
9,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.917778,8852,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
10,cube0,1.253889,2257,0.000000,0.000000,0.000000,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
10,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.305556,5950,0.000035,0.000000,0.000000,0.000000,0.000000,0.000004,128,
