block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l1_read_bw(GB/s),aic_l1_write_bw(GB/s),aic_main_mem_read_bw(GB/s),aic_main_mem_write_bw(GB/s),aic_mte1_instructions,aic_mte1_ratio,aic_mte2_instructions,aic_mte2_ratio,aic_mte3_instructions,aic_mte3_ratio,aiv_time(us),aiv_total_cycles,aiv_ub_to_gm_bw(GB/s),aiv_gm_to_ub_bw(GB/s),aiv_main_mem_read_bw(GB/s),aiv_main_mem_write_bw(GB/s),aiv_mte2_instructions,aiv_mte2_ratio,aiv_mte3_instructions,aiv_mte3_ratio,read_main_memory_datas(KB),write_main_memory_datas(KB),GM_to_L1_datas(KB),GM_to_L1_bw_usage_rate(%),L1_to_GM_datas(KB)(estimate),L1_to_GM_bw_usage_rate(%)(estimate),L0C_to_L1_datas(KB),L0C_to_L1_bw_usage_rate(%),L0C_to_GM_datas(KB),L0C_to_GM_bw_usage_rate(%),GM_to_UB_datas(KB),GM_to_UB_bw_usage_rate(%),UB_to_GM_datas(KB),UB_to_GM_bw_usage_rate(%),
5,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.923889,698263,0.003859,32.662197,33.664131,0.009648,2329,0.747535,2,0.000259,17446.375000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
5,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,388.414459,699146,0.003859,32.662197,33.664131,0.009648,2329,0.713168,2,0.000247,17446.375000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
6,cube0,4.921111,8858,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
6,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,387.943329,698298,0.003859,32.662197,33.664131,0.009648,2329,0.746907,2,0.000312,17446.375000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
6,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,389.545013,701181,0.003859,32.662197,33.664131,0.009648,2329,0.696069,2,0.000298,17446.375000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16927.125000,14.846454,2.000000,0.002075,
7,cube0,5.270555,9487,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
7,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,488.899445,880019,0.003859,31.915693,32.171120,0.009648,8513,0.537254,2,0.000657,16672.625000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16540.250000,14.507133,2.000000,0.002075,
7,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,490.170013,882306,0.003859,31.915693,32.171120,0.009648,8513,0.420226,2,0.000450,16672.625000,5.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16540.250000,14.507133,2.000000,0.002075,
8,cube0,3.510556,6319,0.000000,0.000000,0.003136,0.002653,3,0.000006,2,0.000004,1,0.000002,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.625000,1.375000,0.000000,0.000000,5.500000,0.005333,0.000000,0.000000,0.000000,0.000000,N/A,N/A,N/A,N/A,
8,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.773889,4993,0.000000,0.000000,0.006754,0.005789,1,0.000002,1,0.000002,3.500000,3.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.000000,0.000000,0.000000,0.000000,
