block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
11,cube0,1.653889,2977,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
11,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.440556,6193,24,0,11,0,17,0,100.000000,100.000000,100.000000,
11,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.714444,6686,24,0,17,0,11,0,100.000000,100.000000,100.000000,
12,cube0,1.611667,2901,11,0,7,0,7,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
12,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.738889,6730,24,0,14,0,14,0,100.000000,100.000000,100.000000,
12,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.747778,8546,24,0,14,0,14,0,100.000000,100.000000,100.000000,
13,cube0,3.902778,7025,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
13,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.211667,7581,24,0,14,0,14,0,100.000000,100.000000,100.000000,
13,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.086111,9155,24,0,14,0,14,0,100.000000,100.000000,100.000000,
14,cube0,1.996111,3593,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
14,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.973333,8952,24,0,15,0,13,0,100.000000,100.000000,100.000000,
14,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.050556,7291,24,0,13,0,15,0,100.000000,100.000000,100.000000,
15,cube0,1.526111,2747,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
15,vector0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.863333,6954,24,0,15,0,13,0,100.000000,100.000000,100.000000,
15,vector1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.401111,7922,24,0,13,0,15,0,100.000000,100.000000,100.000000,
16,cube0,1.997222,3595,11,0,7,0,6,0,100.000000,100.000000,100.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
