M,N,time_us,Tflops,utilization_ratio
3633,5508,300.540009,0.06658203034791284,14.80243
1568,9286,345.820007,0.04210412268021266,10.472599999999991
6775,9881,564.52002,0.11858529835664641,25.118369999999995
9248,1668,71.779999,0.21490198126082447,45.950334999999995
2417,2199,127.919998,0.041549273632727854,8.897379999999993
8851,7272,419.140015,0.15356317625746135,32.16696500000001
5102,3408,202.259995,0.08596665890355627,17.5966
1579,9904,502.26001,0.031136096222353037,7.6744450000000075
3402,5222,289.700012,0.06132289701113301,13.034979999999996
1457,2427,141.940002,0.02491291355625034,5.298074999999996
4307,5712,331.640015,0.0741815911448442,15.901845000000012
3875,7367,401.059998,0.07117918800767559,15.115669999999987
6880,5756,218.899994,0.18091037499069093,38.07673000000001
3562,653,45.619999,0.05098610370421095,10.666979999999988
2694,3402,181.440002,0.05051249944320437,11.348109999999997
2358,3503,195.380005,0.04227696687795662,9.169090000000006
879,953,61.400002,0.01364311030478468,3.1563
1395,706,47.82,0.02059535759096612,4.628039999999998
1361,6817,376.440002,0.024646522555272964,5.520305
2485,7674,428.320007,0.044522529156570546,9.244340000000003
7385,4983,289.059998,0.1273073246198528,26.664820000000013
6381,1586,100.519997,0.10067913153638473,21.248195
2615,2302,123.5,0.04874275303643725,11.193795000000001
7989,3430,204.100006,0.13425903573956777,27.8596
2106,2879,151.360001,0.04005796749433161,9.412854999999995
5886,8612,492.320007,0.10296195823705373,21.595439999999982
3554,9893,558.299988,0.06297639755636175,12.933354999999993
4246,5714,331.380005,0.07321396473513844,15.81181000000001
1528,4998,286.720001,0.026635546782102584,5.470659999999996
9421,6690,388.299988,0.162313911789253,33.85159000000001
2089,8009,408.339996,0.04097272166305257,9.684220000000007
3257,9850,511.019989,0.06277924678206667,13.630339999999991
8926,3915,231.259995,0.1511082364245489,31.52564000000001
9385,5280,307.480011,0.16115779311585884,33.67393
3700,4781,248.919998,0.07106580484545881,15.593174999999992
6339,9142,523.780029,0.11064022068699378,23.384510000000006
1579,5821,299.459991,0.03069311185546653,7.575734999999992
7435,7538,433.859985,0.12917768851165198,27.016245
2071,9220,469.480011,0.040671848753109106,9.697735000000005
5916,8448,482.700012,0.10353918947074729,21.71868499999999
8334,3523,208.940002,0.14052207197738995,29.65233499999999
3266,3395,185.360001,0.05981910843861076,13.096305000000008
7231,8416,481.920013,0.1262784162482997,26.86072999999999
8193,3947,232.660004,0.13899153461718328,29.672964999999984
9480,9223,526.619995,0.16602871298116964,34.52277999999999
7132,7864,450.440002,0.12451391472997995,25.492935
2910,5137,285.600006,0.052341280412998306,11.126494999999997
7595,4944,288.279999,0.13025419776000485,26.74802000000001
4501,4125,242.679993,0.07650661585440213,15.901420000000007
2447,7538,421.480011,0.04376360804451056,9.231964999999995
4015,8955,496.100006,0.07247394590839815,14.950389999999999
631,777,48.259998,0.010159283471167983,3.01541
7282,6004,346.679993,0.12611379047766394,26.68857
5966,8796,502.73999,0.10438186148669017,21.764860000000013
1381,2646,152.339996,0.023986648916545852,5.310960000000002
9213,1830,114.419998,0.14735002879479162,30.14575500000001
6682,8337,482.179993,0.11553327555836601,24.75362499999999
1660,4439,231.720001,0.03180018974710776,7.535995000000003
7576,9327,531.419983,0.13296705856091226,27.355569999999997
2619,7525,383.459991,0.05139512716464857,11.739090000000003
1634,9023,463.540009,0.031806492888945,7.634860000000006
9298,8465,485.140015,0.16223681322184894,34.11986499999999
7955,7864,452.380005,0.13828666012769508,28.811279999999996
3335,6778,371.040009,0.060922351907338385,13.124615000000011
3027,7574,430.0,0.05331743720930232,11.016469999999986
5873,6646,382.940002,0.10192708465071768,21.46468
5745,2577,155.419998,0.09525714316377742,20.397985000000013
7785,9025,518.73999,0.13544285452139518,28.614420000000003
3646,4569,235.360001,0.07077912104529605,15.675510000000003
2911,3854,217.580002,0.051562615575304574,10.967729999999994
1455,3747,213.300003,0.025559704281860697,5.410914999999999
5228,4757,276.559998,0.08992477646749186,19.333014999999996
9817,2634,159.360001,0.1622614071143235,34.14706000000001
532,9142,465.299988,0.01045249113567568,3.5515449999999964
8471,1383,89.279999,0.1312208012009498,27.401449999999993
5987,1768,110.480003,0.09580933845557553,19.99300000000001
2546,4468,258.73999,0.04396509406991938,9.029310000000002
3213,6285,329.339996,0.061315677552871525,13.515060000000009
3990,1729,103.040001,0.06695176565458301,13.940044999999987
7464,2621,156.160004,0.12527627752878387,26.08575000000001
8620,6916,398.040009,0.14977368769982113,30.69395499999999
9992,3333,197.059998,0.1690009963361514,35.101834999999994
2955,8964,496.980011,0.0532991657887826,11.20268
5794,4344,253.860001,0.09914573347850887,21.092259999999982
1990,4048,233.820007,0.034451799498919695,7.2511099999999935
7349,6579,378.959991,0.12758357649422677,26.817045
9125,2958,177.860001,0.15175840463421564,31.282220000000017
9538,9625,550.320007,0.1668179401662204,34.500795000000004
5459,1857,115.5,0.08776937662337661,18.41664
1465,8643,479.820007,0.0263890517595695,5.544309999999993
4200,1833,111.860001,0.06882352879649983,15.097434999999997
621,1920,106.18,0.011229233377283857,3.33633
3376,5898,223.259995,0.08918591976139746,19.00699500000001
6970,2545,153.320007,0.11569690314454524,24.097949999999997
1210,4210,224.0,0.022741517857142856,5.463790000000008
1516,1550,95.32,0.024651699538396982,5.126434999999999
8762,3325,198.220001,0.14697633867936466,31.036554999999993
3198,9259,474.76001,0.06236894720766392,13.75874000000001
702,3334,179.059998,0.01307085907596179,3.4781949999999986
2764,4069,220.940002,0.05090393725985392,11.263329999999987
5776,3889,150.720001,0.14903704784343785,31.85171000000001
