M,N,time_us,Tflops,utilization_ratio
3633,5508,73.839996,0.27099898542789735,33.17731499999999
1568,9286,47.139999,0.30887671423158064,43.37107499999998
6775,9881,184.839996,0.36217148046248604,41.2482525
9248,1668,35.939999,0.42920602195898777,50.24681500000001
2417,2199,36.16,0.1469851493362832,44.251112500000005
8851,7272,176.679993,0.36429972011601786,40.717687500000004
5102,3408,48.18,0.36088866749688664,40.24318
1579,9904,65.0,0.2405910153846154,33.0459775
3402,5222,56.400002,0.3149865845749438,38.82795499999999
1457,2427,28.02,0.12620053533190578,38.16408499999999
4307,5712,73.400002,0.3351714350089527,39.67275
3875,7367,96.360001,0.2962549263568397,34.3016125
6880,5756,85.099998,0.4653499521821375,54.19007500000001
3562,653,25.4,0.09157425196850394,29.6223225
2694,3402,56.98,0.16084570024570025,45.07598250000001
2358,3503,52.139999,0.1584210617265259,47.475570000000005
879,953,14.72,0.05690808423913043,20.01674999999999
1395,706,14.34,0.06867991631799163,23.170142499999997
1361,6817,31.9,0.29084442006269595,36.8262475
2485,7674,55.0,0.34672527272727277,39.59826
7385,4983,103.400002,0.3558941420523377,40.357140000000015
6381,1586,45.380001,0.2230115860949408,26.41949500000001
2615,2302,43.16,0.1394747451343837,40.927974999999996
7989,3430,90.220001,0.30372721897886035,34.061862500000004
2106,2879,41.700001,0.1453998526283009,45.17424749999998
5886,8612,133.179993,0.38061446661887116,42.5204475
3554,9893,99.419998,0.35364838772175383,41.642145
4246,5714,71.120003,0.3411367122692613,40.4681975
1528,4998,48.139999,0.1586403024229394,45.55314250000001
9421,6690,172.440002,0.3654980820517504,40.3414725
2089,8009,54.66,0.3060885656787413,39.92985749999999
3257,9850,97.720001,0.32829973057409195,40.253992499999995
8926,3915,102.559998,0.3407302133527733,38.604719999999986
9385,5280,138.320007,0.358247523801817,40.2331425
3700,4781,58.919998,0.3002325288605746,35.70386249999999
6339,9142,227.940002,0.254238560548929,28.858357499999997
1579,5821,40.419998,0.22739632495775977,31.715924999999995
7435,7538,150.679993,0.3719473891932023,41.41330250000001
2071,9220,61.799999,0.3089744386565443,40.95930000000001
5916,8448,126.839996,0.39402688092169286,43.988414999999996
8334,3523,80.459999,0.3649102953630412,41.47111
3266,3395,38.400002,0.28875180787751,37.0209025
7231,8416,167.639999,0.36301656145917777,41.46687
8193,3947,91.599998,0.3530324422059485,40.58866750000001
9480,9223,219.899994,0.3976081963876725,43.5988675
7132,7864,141.639999,0.3959760547583737,43.1671075
2910,5137,46.84,0.31914325362937657,38.007450000000006
7595,4944,103.0,0.36455999999999994,40.28599250000001
4501,4125,56.16,0.330602297008547,38.2488025
2447,7538,53.52,0.34464659940209263,39.727540000000005
4015,8955,116.300003,0.3091515397467358,34.44245
631,777,13.2,0.03714295454545455,17.318545
7282,6004,117.419998,0.37234822640688514,41.98215500000001
5966,8796,136.5,0.38444641758241754,42.68232000000001
1381,2646,28.58,0.12785605318404478,39.53058500000001
9213,1830,59.48,0.2834530934767989,35.235895
6682,8337,153.380005,0.3632014094666381,41.7504
1660,4439,30.6,0.24080849673202612,32.27802000000001
7576,9327,169.839996,0.41604659481975015,45.2981975
2619,7525,62.900002,0.3133223270803711,38.924965
1634,9023,58.139999,0.253587586061018,33.724022500000004
9298,8465,211.580002,0.3719990984781255,41.98352249999999
7955,7864,196.919998,0.3176829201470944,35.150145
3335,6778,71.480003,0.3162371159945251,39.032030000000006
3027,7574,66.059998,0.34705568716487095,39.59256749999999
5873,6646,107.18,0.3641720283635006,40.83441499999999
5745,2577,48.700001,0.30400132845993166,36.326865000000005
7785,9025,225.520004,0.31154497939792514,35.07093500000001
3646,4569,60.439999,0.2756216789480754,33.6888575
2911,3854,38.119999,0.2943073004802545,35.874795000000006
1455,3747,37.5,0.1453836,42.65450999999999
5228,4757,73.339996,0.3391000457649329,40.134084999999985
9817,2634,72.68,0.35577845349477155,40.32742250000001
532,9142,29.959999,0.16233458485762967,31.093209999999992
8471,1383,39.360001,0.2976471723158747,34.956135
5987,1768,34.560001,0.30627938928589726,35.778330000000004
2546,4468,34.48,0.3299167053364269,38.289835000000004
3213,6285,66.279999,0.3046726811205896,38.740425
3990,1729,51.599998,0.13369593541457114,39.3856125
7464,2621,55.040001,0.355435022612009,40.68269000000001
8620,6916,146.619995,0.4066015689060691,44.57400000000001
9992,3333,84.099998,0.3959968702971908,44.15281499999999
2955,8964,75.260002,0.3519614575614813,39.991162499999994
5794,4344,71.019997,0.35439505861989823,40.73327750000001
1990,4048,30.1,0.2676252491694352,31.416864999999994
7349,6579,133.020004,0.36347218122170555,41.159612499999994
9125,2958,88.459999,0.30512944048303686,38.464099999999995
9538,9625,239.880005,0.3827048861367165,42.10972250000001
5459,1857,36.759998,0.27577158736515706,33.1345525
1465,8643,39.48,0.32071922492401217,37.53924000000001
4200,1833,56.220001,0.13693703064857646,38.07508500000001
621,1920,18.719999,0.06369231109467474,25.684552500000002
3376,5898,47.200001,0.42185694021489534,51.46773250000001
6970,2545,56.540001,0.3137362873410632,36.75601
1210,4210,39.060001,0.13041730336873264,41.58850999999999
1516,1550,21.26,0.11052681091251175,33.277875
8762,3325,89.699997,0.3247898659350011,37.97444
3198,9259,91.099998,0.325030545006159,40.902375
702,3334,28.58,0.08189181245626312,30.27522499999999
2764,4069,37.5,0.2999124266666666,37.936724999999996
5776,3889,51.98,0.4321443632166218,50.68005749999999
